stopwords
no
nunca
jamás
nadie
ninguno
ninguna
nada
ni
tampoco
muy
mucho
poco
bastante
demasiado
tan
tanto
más
menos
sumamente
quizá
quizás
tal vez
posiblemente
probablemente
sí
si
claro
exacto
cierto
seguro
mejor
peor
igual
como
creo
pienso
opino
parece
siento
siempre
nunca
antes
ahora
todavía
ya
